"","x"
"1",1.1
"2",0.85
"3",0.9
"4",0.85
"5",0.75
"6",0.9
"7",0.83
"8",0.9
"9",0.8
"10",0.8
"11",0.9
"12",0.8
"13",0.9
"14",0.9
"15",0.95
"16",0.9
"17",0.95
"18",1
"19",1
"20",0.95
"21",1
"22",1
"23",0.9
"24",0.95
"25",0.9
"26",0.9
"27",0.85
"28",0.85
"29",0.95
"30",1.1
"31",1.1
"32",0.85
"33",0.95
"34",1.1
"35",1.1
"36",0.9
"37",0.9
"38",0.9
"39",0.8
"40",0.9
"41",0.9
"42",1
"43",0.95
"44",0.9
"45",0.95
"46",0.97
"47",0.95
"48",1
"49",0.8
"50",0.85
"51",0.8
"52",0.85
"53",0.9
"54",0.9
"55",0.8
"56",0.85
"57",0.9
"58",0.9
"59",0.9
"60",0.95
"61",0.9
"62",0.9
"63",0.9
"64",0.95
"65",0.9
"66",1
"67",1
"68",1
"69",1
"70",0.9
"71",0.9
"72",0.9
"73",1
"74",1
"75",1.05
"76",1
"77",0.95
"78",0.95
"79",1
"80",0.88
